Brand,SubBrand,Arcsoft SDK,Face++ SDK,SenseTime SDK,Biometric SensorTech SDK,System Face App
cubot,quest_lite,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
cubot,r15_pro,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
cubot,r19,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
cubot,x30,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
cubot,x50,,,vendor/lib64/libstfaceunlock.so; vendor/lib/libstfaceunlock.so,,
custom,vega,,,,,
daria,zahedan,,,,vendor/lib64/libbstFaceUnlock.so; vendor/lib/libbstFaceUnlock.so,
dell,lw,,,,,system/app/FaceLock.apk
dell,saltbay,,,,,system/app/FaceLock.apk
dell,yellowtail,,,,,system/app/FaceLock.apk
deutschetelekom,cheetah,,,,vendor/lib64/libbstFaceUnlock.so; vendor/lib/libbstFaceUnlock.so,
deutschetelekom,jaguar,,,,vendor/lib64/libbstFaceUnlock.so; vendor/lib/libbstFaceUnlock.so,system/system/priv-app/FaceService/FaceService.apk
deutschetelekom,leopard,,,,vendor/lib64/libbstFaceUnlock.so; vendor/lib/libbstFaceUnlock.so,system/system/priv-app/FaceService/FaceService.apk
deutschetelekom,lion,,,,vendor/lib64/libbstFaceUnlock.so; vendor/lib/libbstFaceUnlock.so,system/system/priv-app/FaceService/FaceService.apk
deutschetelekom,puma,,,,vendor/lib64/libbstFaceUnlock.so; vendor/lib/libbstFaceUnlock.so,
deutschetelekom,tiger,,,,vendor/lib64/libbstFaceUnlock.so; vendor/lib/libbstFaceUnlock.so,system/system/priv-app/FaceService/FaceService.apk
dexp,al240,,,,,
dexp,b245,,,,,
dexp,b340,,,,,
dexp,n210,,,,,system/app/FaceLock/FaceLock.apk
dexp,n310,,,,,system/app/FaceLock/FaceLock.apk
dexp,n370,,,,,
dexp,n570,,,,,system/app/FaceLock/FaceLock.apk
dexp,p380i,,,,,
dexp,p410,,,,,
dexp,s280,,,,,
dexp,s380,,,,,system/app/FaceLock/FaceLock.apk
dexp,va110,,,,,
dexp,va210,,,,,
diamond,turbo_b2,,,,,
digma,cs1194mg,,,,,system/app/FaceLock/FaceLock.apk
digma,cs1195mg,,,,,system/app/FaceLock/FaceLock.apk
digma,cs1196ml,,,,,system/app/FaceLock/FaceLock.apk
digma,cs1219pl,,,,,
digma,cs3001ml,,,,,system/app/FaceLock/FaceLock.apk
digma,cs6062ml,,,system/system/lib/libstfaceunlock.so; system/system/lib64/libstfaceunlock.so,,system/system/app/TFaceServiceApp/TFaceServiceApp.apk; system/system/priv-app/FaceUnlock/FaceUnlock.apk
digma,cs7193mg,,,,,system/app/FaceLock/FaceLock.apk
digma,cs8209mg,,,,,system/system/app/FaceLock/FaceLock.apk
digma,ls4050mg,,,,,
digma,ls4051mg,,,,,system/app/FaceLock/FaceLock.apk
digma,ls5040pl,,,,,system/app/FaceLock/FaceLock.apk
digma,ls5041pl,,,,,system/app/FaceLock/FaceLock.apk
digma,ls5053ml,,,,,system/app/FaceLock/FaceLock.apk
digma,lt4047mg,,,,,
digma,lt5048mg,,,,,
digma,lt5052ml,,,,,
digma,ns1800ml,,,,,
digma,ps1187mg,,,,,system/app/FaceLock/FaceLock.apk
digma,ps1202pl,,,,,
digma,ps8163pl,,,,,
digma,ps8199ml,,,,,
digma,ps8212pg,,,,,
digma,ts7203mg,,,,,
digma,ts8211pg,,,,,
